10 30
5.196965287614858e-01 4.686782972090842e+00 0.000000000000000e+00
5.139002919083597e-01 4.852982552420382e+00 0.000000000000000e+00
5.039283710065909e-01 5.000000000000000e+00 0.000000000000000e+00
6.666666666666666e-01 -3.061616997868383e-16 0.000000000000000e+00
6.665625850319014e-01 1.742833606131530e-01 0.000000000000000e+00
6.662582016649162e-01 3.485645864216549e-01 0.000000000000000e+00
6.657525066265856e-01 5.228415926675859e-01 0.000000000000000e+00
6.650438471941230e-01 6.971122406344051e-01 0.000000000000000e+00
6.641282089224679e-01 8.713742209666174e-01 0.000000000000000e+00
6.629958332503254e-01 1.045624731436758e+00 0.000000000000000e+00
6.616505836340940e-01 1.219861596110793e+00 0.000000000000000e+00
6.600877700611696e-01 1.394082117981006e+00 0.000000000000000e+00
6.582971311065462e-01 1.568282907297312e+00 0.000000000000000e+00
6.562671341454417e-01 1.742460057897149e+00 0.000000000000000e+00
6.539983676915221e-01 1.916610670660891e+00 0.000000000000000e+00
6.514732960945826e-01 2.090729516938337e+00 0.000000000000000e+00
6.486786840319572e-01 2.264811287428546e+00 0.000000000000000e+00
6.456064509397258e-01 2.438850923098784e+00 0.000000000000000e+00
6.422274975309079e-01 2.612839375633897e+00 0.000000000000000e+00
6.385301421879458e-01 2.786769472424831e+00 0.000000000000000e+00
6.344872468918303e-01 2.960630366676232e+00 0.000000000000000e+00
6.300569060842982e-01 3.134406196075687e+00 0.000000000000000e+00
6.252099607352013e-01 3.308081762985219e+00 0.000000000000000e+00
6.198948186056710e-01 3.481633866614909e+00 0.000000000000000e+00
6.140475643320878e-01 3.655031716475517e+00 0.000000000000000e+00
6.075880642400846e-01 3.828233728504736e+00 0.000000000000000e+00
6.003833505065783e-01 4.001170483853982e+00 0.000000000000000e+00
5.922901778373538e-01 4.173752243013721e+00 0.000000000000000e+00
5.830453515681225e-01 4.345810854053878e+00 0.000000000000000e+00
5.722485424716650e-01 4.517050194034190e+00 0.000000000000000e+00
5.590895862844651e-01 4.686782972090842e+00 0.000000000000000e+00
5.417008757250852e-01 4.852982552420382e+00 0.000000000000000e+00
5.117851130197750e-01 5.000000000000000e+00 0.000000000000000e+00
7.777777777777777e-01 -3.061616997868383e-16 0.000000000000000e+00
7.776043083865023e-01 1.742833606131530e-01 0.000000000000000e+00
7.770970027748605e-01 3.485645864216552e-01 0.000000000000000e+00
7.762541777109760e-01 5.228415926675861e-01 0.000000000000000e+00
7.750730786568719e-01 6.971122406344049e-01 0.000000000000000e+00
7.735470148707801e-01 8.713742209666178e-01 0.000000000000000e+00
7.716597220838763e-01 1.045624731436757e+00 0.000000000000000e+00
7.694176393901571e-01 1.219861596110793e+00 0.000000000000000e+00
7.668129501019501e-01 1.394082117981006e+00 0.000000000000000e+00
7.638285518442447e-01 1.568282907297312e+00 0.000000000000000e+00
7.604452235757371e-01 1.742460057897149e+00 0.000000000000000e+00
7.566639461525376e-01 1.916610670660891e+00 0.000000000000000e+00
7.524554934909723e-01 2.090729516938336e+00 0.000000000000000e+00
7.477978067199299e-01 2.264811287428546e+00 0.000000000000000e+00
7.426774182328786e-01 2.438850923098783e+00 0.000000000000000e+00
7.370458292181818e-01 2.612839375633897e+00 0.000000000000000e+00
7.308835703132450e-01 2.786769472424831e+00 0.000000000000000e+00
7.241454114863862e-01 2.960630366676232e+00 0.000000000000000e+00
7.167615101404998e-01 3.134406196075687e+00 0.000000000000000e+00
7.086832678920045e-01 3.308081762985218e+00 0.000000000000000e+00
6.998246976761213e-01 3.481633866614910e+00 0.000000000000000e+00
6.900792738868162e-01 3.655031716475517e+00 0.000000000000000e+00
6.793134404001444e-01 3.828233728504736e+00 0.000000000000000e+00
6.673055841776339e-01 4.001170483853982e+00 0.000000000000000e+00
6.538169630622594e-01 4.173752243013721e+00 0.000000000000000e+00
6.384089192802076e-01 4.345810854053878e+00 0.000000000000000e+00
6.204142374527777e-01 4.517050194034190e+00 0.000000000000000e+00
5.984826438074444e-01 4.686782972090842e+00 0.000000000000000e+00
5.695014595418104e-01 4.852982552420382e+00 0.000000000000000e+00
5.196418550329591e-01 5.000000000000000e+00 0.000000000000000e+00
8.888888888888888e-01 -3.061616997868383e-16 0.000000000000000e+00
8.886460317411033e-01 1.742833606131530e-01 0.000000000000000e+00
8.879358038848049e-01 3.485645864216553e-01 0.000000000000000e+00
8.867558487953671e-01 5.228415926675865e-01 0.000000000000000e+00
8.851023101196213e-01 6.971122406344046e-01 0.000000000000000e+00
8.829658208190938e-01 8.713742209666178e-01 0.000000000000000e+00
8.803236109174285e-01 1.045624731436757e+00 0.000000000000000e+00
8.771846951462220e-01 1.219861596110792e+00 0.000000000000000e+00
8.735381301427330e-01 1.394082117981007e+00 0.000000000000000e+00
8.693599725819460e-01 1.568282907297313e+00 0.000000000000000e+00
8.646233130060358e-01 1.742460057897150e+00 0.000000000000000e+00
8.593295246135572e-01 1.916610670660891e+00 0.000000000000000e+00
8.534376908873665e-01 2.090729516938338e+00 0.000000000000000e+00
8.469169294079081e-01 2.264811287428546e+00 0.000000000000000e+00
8.397483855260365e-01 2.438850923098783e+00 0.000000000000000e+00
